name,line,side,velocity_lo_km_s,velocity_hi_km_s,candidate_pixel_count,retained_pixel_count,author_fit_region_overlap,duplicate_pixels,invalid_pixels,median_flux,rms,max_abs_20pixel_bin_score,selected,screen_exclusions
2260_-1320_-1100,2260,blue,-1320,-1100,550,550,0,0,0,0.9979974587537841,0.8269394364273396,3.094466600369957,True,[]
2260_-1100_-880,2260,blue,-1100,-880,550,550,0,0,0,0.988493535087138,0.842953660205084,1.7608308738720844,True,[]
2260_-880_-660,2260,blue,-880,-660,550,550,0,0,0,1.002224782404392,0.8868176447040447,3.989177011177788,True,[]
2260_+180_+400,2260,red,180,400,550,550,0,0,0,0.9985778797744314,0.7692989039791411,2.1382846855677697,True,[]
2260_+400_+620,2260,red,400,620,550,550,0,0,0,0.9998017745571475,0.8014815701760598,2.8312730717197745,True,[]
2260_+620_+840,2260,red,620,840,550,550,0,0,0,1.0003098217272917,0.8394321548444569,2.105850505352575,True,[]
2344_-1320_-1100,2344,blue,-1320,-1100,550,550,0,0,0,0.9972463274534509,0.8721914685773585,2.580648087627213,True,[]
2344_-1100_-880,2344,blue,-1100,-880,550,550,0,0,0,0.997578633952859,0.7982101256782679,1.7648098412816482,True,[]
2344_-880_-660,2344,blue,-880,-660,550,550,0,0,0,0.9989551514062311,0.8319386011284129,2.159007035813693,True,[]
2344_+180_+400,2344,red,180,400,550,550,0,0,0,1.0006682697584088,0.8178051744066791,3.0456976727302334,True,[]
2344_+400_+620,2344,red,400,620,550,550,0,0,0,1.0009390224462011,0.7923112256381172,2.230785356980555,True,[]
2344_+620_+840,2344,red,620,840,550,550,0,0,0,0.9995428844326181,0.8082530434965977,3.1873987426856587,True,[]
2374_-1320_-1100,2374,blue,-1320,-1100,550,550,0,0,0,0.9940350722731589,0.865412684689494,4.432899940083775,True,[]
2374_-1100_-880,2374,blue,-1100,-880,550,550,0,0,0,1.0020360812697056,0.8357438107421862,3.5098606933381897,True,[]
2374_-880_-660,2374,blue,-880,-660,550,550,0,0,0,1.0011096044035193,0.8232961808168585,2.0178948285889104,True,[]
2374_+180_+400,2374,red,180,400,550,550,0,0,0,0.9997882250587208,0.8232653783725751,2.383543145122217,True,[]
2374_+400_+620,2374,red,400,620,550,236,314,0,0,0.996769126871812,0.9263465368543055,1.3966352048125903,False,['less_than_90_percent_unique_outside_author_fit_regions']
2374_+620_+840,2374,red,620,840,550,79,471,0,0,0.9959048656572049,0.8469171809757282,1.6989688788416435,False,['less_than_90_percent_unique_outside_author_fit_regions']
2382_-1320_-1100,2382,blue,-1320,-1100,550,79,471,0,0,0.9997768475396202,0.8488399723367367,1.1825953544626115,False,['less_than_90_percent_unique_outside_author_fit_regions']
2382_-1100_-880,2382,blue,-1100,-880,550,112,438,0,0,0.9965261589431926,0.7780921820219627,0.7212105947884584,False,['less_than_90_percent_unique_outside_author_fit_regions']
2382_-880_-660,2382,blue,-880,-660,550,33,0,517,0,,,,False,"['less_than_90_percent_unique_outside_author_fit_regions', 'median_flux_outside_0.97_to_1.03', 'broad_residual_bin_threshold', 'standardized_residual_rms_threshold']"
2382_+180_+400,2382,red,180,400,550,550,0,0,0,0.9963209101615735,0.8775904649624146,3.5329474109342427,True,[]
2382_+400_+620,2382,red,400,620,550,550,0,0,0,1.0022090259635896,0.8244482723467488,4.3295384010515745,True,[]
2382_+620_+840,2382,red,620,840,550,550,0,0,0,0.9989893021491574,0.7873788739442172,2.31849361585411,True,[]
2586_-1320_-1100,2586,blue,-1320,-1100,550,439,111,0,0,0.9916111736860939,0.8058288442103373,3.08925693189627,False,['less_than_90_percent_unique_outside_author_fit_regions']
2586_-1100_-880,2586,blue,-1100,-880,550,425,125,0,0,1.0006470055556587,0.9075904762249725,2.676754416083878,False,['less_than_90_percent_unique_outside_author_fit_regions']
2586_-880_-660,2586,blue,-880,-660,550,550,0,0,0,1.0011100758479894,0.8380689339943853,2.106083270107978,True,[]
2586_+180_+400,2586,red,180,400,550,550,0,0,0,0.9975584025579913,0.8464903279562067,2.698542404049176,True,[]
2586_+400_+620,2586,red,400,620,550,550,0,0,0,0.9953456172461288,0.8941747423139531,2.26335907442765,True,[]
2586_+620_+840,2586,red,620,840,550,550,0,0,0,0.9964346326470943,0.8811077034562492,3.027176457020922,True,[]
2600_-1320_-1100,2600,blue,-1320,-1100,550,0,0,550,0,,,,False,"['less_than_90_percent_unique_outside_author_fit_regions', 'median_flux_outside_0.97_to_1.03', 'broad_residual_bin_threshold', 'standardized_residual_rms_threshold']"
2600_-1100_-880,2600,blue,-1100,-880,550,0,0,550,0,,,,False,"['less_than_90_percent_unique_outside_author_fit_regions', 'median_flux_outside_0.97_to_1.03', 'broad_residual_bin_threshold', 'standardized_residual_rms_threshold']"
2600_-880_-660,2600,blue,-880,-660,550,145,13,392,0,0.9949602245743038,0.8389680954073818,1.5294841085706132,False,['less_than_90_percent_unique_outside_author_fit_regions']
2600_+180_+400,2600,red,180,400,550,550,0,0,0,0.9957600703779185,0.9120952177972356,2.8988547012173993,True,[]
2600_+400_+620,2600,red,400,620,550,550,0,0,0,0.9938894596351594,0.8716283894331245,2.6170524076981683,True,[]
2600_+620_+840,2600,red,620,840,550,313,237,0,0,0.9952831530337047,0.8722883508367993,2.148572416242091,False,['less_than_90_percent_unique_outside_author_fit_regions']
