beta,encoded_dimensionless_time,x_mean,x_std,y_mean,y_std,abs_mean,abs_std
0.05,14.134725142,-0.05880012654377093,0.015121748672270473,0.03535711632808232,0.005021166022635749,0.06877967636138475,0.014808254639574315
0.1,14.134725142,-0.06309390893741218,0.001421581135864269,0.03512611422982073,0.005133250848980742,0.07230182136746295,0.0030114724735474173
0.15000000000000002,14.134725142,-0.06092717543747197,0.008941788460397995,0.041093771458352184,0.006281173852237357,0.07354897937265034,0.010317863872157402
0.2,14.134725142,-0.05203683148070931,0.007619104239794384,0.036576731759006414,0.017768946366724173,0.06497377415453053,0.010484889968785428
0.25,14.134725142,-0.06280462759183982,0.017470337916609912,0.035011195957286634,0.012596742983980922,0.07300833761654528,0.014962360522044485
0.30000000000000004,14.134725142,-0.042637560596233574,0.011976272802250644,0.02496362627986312,0.017855096124581755,0.0510959073238255,0.014414030176941537
0.35000000000000003,14.134725142,-0.03438218859828806,0.00655192181662813,0.02236308809562294,0.01443995234756887,0.04186992968394368,0.012048538859751766
0.4,14.134725142,-0.007181972815342584,0.011143181773634749,0.022159738411866244,0.01258242188400427,0.026557936224366196,0.0062011277817081226
0.45,14.134725142,-0.013468434711004918,0.003916812321023803,0.022829938502869324,0.00806556835743735,0.026607269558890645,0.008507752936675519
0.5,14.134725142,0.01334020891151337,0.0012912173236679799,0.01662073860506574,0.006237192040725507,0.021466481986050525,0.0055380702247982885
0.55,14.134725142,0.025300072175516785,0.012096031305082914,0.014473532778688366,0.007172182163075317,0.03095406225700342,0.005906642004676075
0.6000000000000001,14.134725142,0.03520755422189659,0.01290695667027864,0.011473047565292027,0.016355804698560662,0.038157131396419866,0.0175201571141727
0.65,14.134725142,0.04731649935834433,0.004219659403147059,0.013002174851463528,0.007990207641096833,0.04944563712578163,0.005118973633360744
0.7000000000000001,14.134725142,0.0621323604645452,0.004978610609918381,0.015364494361345555,0.01408834120792646,0.06505538157235634,0.004439681308700839
0.75,14.134725142,0.07580846725140529,0.014494028620181822,0.0018716626566100535,0.014700706468423887,0.07672957492931305,0.014855516659649251
0.8,14.134725142,0.09799765515926094,0.02569202899222553,-0.007242466301995665,0.0043696030823968035,0.0983434691134905,0.025612643580747513
0.8500000000000001,14.134725142,0.10925979362570536,0.02064614444937579,0.004026732208387896,0.02446518727187372,0.1113803933925057,0.018635885639889504
0.9,14.134725142,0.1272469044199012,0.005215302802101947,0.0033160470573862827,0.0134352396557446,0.12777524461321252,0.0047001726326665536
