zero_index,omega_over_J,exact_ordinate_published_rounded,measured_ordinate,sigma_ordinate_published,parenthetical_as_published,residual_to_published_rounded,relative_residual_to_published_rounded,sigma_rounded_to_zero,source_table,source_pdf_page
1,5,14.135,14.07,0.01,14.07(1),-0.0649999999999995,-0.00459851432614075,False,I,3
1,8,14.135,14.06,0.02,14.06(2),-0.07499999999999929,-0.005305978068623933,False,I,3
1,12,14.135,13.99,0.04,13.99(4),-0.14499999999999957,-0.010258224266006337,False,I,3
1,16,14.135,14.03,0.03,14.03(3),-0.10500000000000043,-0.007428369296073606,False,I,3
2,5,21.022,21.04,0.02,21.04(2),0.018000000000000682,0.0008562458376938771,False,I,3
2,8,21.022,21.0,0.02,21.00(2),-0.021999999999998465,-0.001046522690514626,False,I,3
2,12,21.022,20.93,0.05,20.93(5),-0.09199999999999875,-0.004376367614879591,False,I,3
2,16,21.022,20.82,0.03,20.82(3),-0.20199999999999818,-0.009608981067453058,False,I,3
3,5,25.011,24.7,0.03,24.70(3),-0.31099999999999994,-0.012434528807324775,False,I,3
3,8,25.011,24.87,0.02,24.87(2),-0.14099999999999824,-0.0056375194914237035,False,I,3
3,12,25.011,24.87,0.07,24.87(7),-0.14099999999999824,-0.0056375194914237035,False,I,3
3,16,25.011,24.99,0.04,24.99(4),-0.021000000000000796,-0.0008396305625525088,False,I,3
4,5,30.425,30.59,0.02,30.59(2),0.16499999999999915,0.005423171733771541,False,I,3
4,8,30.425,30.31,0.02,30.31(2),-0.11500000000000199,-0.003779786359901462,False,I,3
4,12,30.425,30.29,0.03,30.29(3),-0.13500000000000156,-0.004437140509449517,False,I,3
4,16,30.425,30.27,0.04,30.27(4),-0.15500000000000114,-0.005094494658997572,False,I,3
5,5,32.935,32.76,0.03,32.76(3),-0.17500000000000426,-0.005313496280552733,False,I,3
5,8,32.935,32.72,0.03,32.72(3),-0.2150000000000034,-0.006528009716107588,False,I,3
5,12,32.935,32.57,0.08,32.57(8),-0.365000000000002,-0.011082435099438348,False,I,3
5,16,32.935,32.29,0.23,32.29(23),-0.6450000000000031,-0.019584029148322548,False,I,3
6,5,37.586,37.64,0.02,37.64(2),0.054000000000002046,0.001436705156175226,False,I,3
6,8,37.586,37.62,0.02,37.62(2),0.03399999999999892,0.0009045921353695238,False,I,3
6,12,37.586,37.39,0.02,37.39(2),-0.19599999999999795,-0.005214707603895013,False,I,3
6,16,37.586,37.59,0.04,37.59(4),0.0040000000000048885,0.0001064226041612539,False,I,3
7,5,40.919,40.95,0.02,40.95(2),0.03100000000000591,0.0007575942716099101,False,I,3
7,8,40.919,40.89,0.03,40.89(3),-0.028999999999996362,-0.0007087172218284016,False,I,3
7,12,40.919,40.78,0.03,40.78(3),-0.1389999999999958,-0.003396954959798524,False,I,3
7,16,40.919,40.7,0.04,40.70(4),-0.2189999999999941,-0.00535203695104949,False,I,3
8,5,43.327,42.85,0.09,42.85(9),-0.47699999999999676,-0.011009301359429381,False,I,3
8,8,43.327,43.12,0.04,43.12(4),-0.20700000000000074,-0.004777621344658083,False,I,3
8,12,43.327,43.23,0.04,43.23(4),-0.09700000000000131,-0.0022387887460475295,False,I,3
8,16,43.327,42.74,0.4,42.74(40),-0.5869999999999962,-0.013548133958039934,False,I,3
9,5,48.005,48.23,0.04,48.23(4),0.22499999999999432,0.0046870117696072135,False,I,3
9,8,48.005,47.87,0.06,47.87(6),-0.13500000000000512,-0.002812207061764506,False,I,3
9,12,48.005,47.94,0.06,47.94(6),-0.06500000000000483,-0.0013540256223311077,False,I,3
9,16,48.005,47.75,0.09,47.75(9),-0.25500000000000256,-0.005311946672221696,False,I,3
10,5,49.774,49.26,0.19,49.26(19),-0.5140000000000029,-0.01032667657813322,False,I,3
10,8,49.774,49.67,0.03,49.67(3),-0.1039999999999992,-0.002089444288182569,False,I,3
10,12,49.774,49.36,0.23,49.36(23),-0.4140000000000015,-0.008317595531803782,False,I,3
10,16,49.774,49.23,0.22,49.23(22),-0.544000000000004,-0.010929400892032065,False,I,3
11,5,52.97,52.93,0.02,52.93(2),-0.03999999999999915,-0.000755144421370571,False,I,3
11,8,52.97,52.83,0.04,52.83(4),-0.14000000000000057,-0.0026430054747970657,False,I,3
11,12,52.97,52.88,0.05,52.88(5),-0.0899999999999963,-0.0016990749480837513,False,I,3
11,16,52.97,52.78,0.05,52.78(5),-0.18999999999999773,-0.003586936001510246,False,I,3
12,5,56.446,56.56,0.03,56.56(3),0.11400000000000432,0.002019629380292746,False,I,3
12,8,56.446,56.58,0.03,56.58(3),0.13400000000000034,0.0023739503242036697,False,I,3
12,12,56.446,56.28,0.03,56.28(3),-0.16599999999999682,-0.0029408638344611986,False,I,3
12,16,56.446,56.49,0.05,56.49(5),0.044000000000004036,0.0007795060766042596,False,I,3
13,5,59.347,59.44,0.05,59.44(5),0.09299999999999642,0.0015670547795170171,False,I,3
13,8,59.347,59.33,0.09,59.33(9),-0.017000000000003013,-0.00028645087367521545,False,I,3
13,12,59.347,59.35,0.06,59.35(6),0.0030000000000001137,5.0550154177972156e-05,False,I,3
13,16,59.347,59.08,0.28,59.08(28),-0.267000000000003,-0.004498963721839402,False,I,3
14,5,60.832,60.1,0.48,60.10(48),-0.7319999999999993,-0.012033140452393466,False,I,3
14,8,60.832,60.13,4.14,60.13(414),-0.7019999999999982,-0.011539978958442896,False,I,3
14,12,60.832,60.41,1.44,60.41(144),-0.42200000000000415,-0.006937138348237838,False,I,3
14,16,60.832,60.67,0.09,60.67(9),-0.16199999999999903,-0.0026630720673329667,False,I,3
15,5,65.113,65.53,0.11,65.53(11),0.4170000000000016,0.006404251071214682,False,I,3
15,8,65.113,64.99,0.04,64.99(4),-0.12300000000000466,-0.0018890236972648267,False,I,3
15,12,65.113,65.05,0.06,65.05(6),-0.06300000000000239,-0.0009675487229893015,False,I,3
15,16,65.113,64.92,0.06,64.92(6),-0.19299999999999784,-0.0029640778339194607,False,I,3
16,5,67.08,67.06,0.05,67.06(5),-0.01999999999999602,-0.0002981514609420993,False,I,3
16,8,67.08,67.1,0.03,67.10(3),0.01999999999999602,0.0002981514609420993,False,I,3
16,12,67.08,66.98,0.1,66.98(10),-0.09999999999999432,-0.0014907573047107084,False,I,3
16,16,67.08,66.5,0.4,66.50(40),-0.5799999999999983,-0.008646392367322574,False,I,3
17,5,69.546,69.36,0.04,69.36(4),-0.18600000000000705,-0.0026744888275387086,False,I,3
17,8,69.546,69.32,0.07,69.32(7),-0.2260000000000133,-0.00324964771518151,False,I,3
17,12,69.546,69.11,0.28,69.11(28),-0.43600000000000705,-0.006269231875305654,False,I,3
17,16,69.546,69.44,0.07,69.44(7),-0.10600000000000875,-0.0015241710522533106,False,I,3
18,5,72.067,71.82,0.03,71.82(3),-0.2469999999999999,-0.003427366200896387,False,I,3
18,8,72.067,71.84,0.03,71.84(3),-0.22699999999998965,-0.0031498466704592905,False,I,3
18,12,72.067,71.76,0.08,71.76(8),-0.30699999999998795,-0.004259924792207085,False,I,3
18,16,72.067,71.95,0.07,71.95(7),-0.11699999999999022,-0.0016234892530560482,False,I,3
19,5,75.705,76.33,0.37,76.33(37),0.625,0.008255729476256522,False,I,3
19,8,75.705,75.72,0.12,75.72(12),0.015000000000000568,0.00019813750743016405,False,I,3
19,12,75.705,75.23,3.3200000000000003,75.23(332),-0.4749999999999943,-0.006274354401954882,False,I,3
19,16,75.705,75.35,3.17,75.35(317),-0.355000000000004,-0.004689254342513757,False,I,3
20,5,77.145,76.84,0.08,76.84(8),-0.3049999999999926,-0.00395359388165134,False,I,3
20,8,77.145,77.41,0.06,77.41(6),0.26500000000000057,0.003435089766025025,False,I,3
20,12,77.145,76.8,0.09,76.80(9),-0.34499999999999886,-0.004472097997277839,False,I,3
20,16,77.145,76.82,0.8300000000000001,76.82(83),-0.32500000000000284,-0.004212845939464681,False,I,3
21,5,79.337,78.89,0.06,78.89(6),-0.44700000000000273,-0.005634193377617035,False,I,3
21,8,79.337,79.26,0.02,79.26(2),-0.07699999999999818,-0.0009705433782472008,False,I,3
21,12,79.337,78.95,0.04,78.95(4),-0.38700000000000045,-0.004877925810151638,False,I,3
21,16,79.337,79.09,0.09,79.09(9),-0.2469999999999999,-0.0031133014860657685,False,I,3
22,5,82.914,84.12,1.17,84.12(117),1.206000000000003,0.01454519140314064,False,I,3
22,8,82.914,82.8,0.02,82.80(2),-0.11400000000000432,-0.0013749185903466762,False,I,3
22,12,82.914,82.67,0.04,82.67(4),-0.24399999999999977,-0.0029428082109173334,False,I,3
22,16,82.914,82.74,0.08,82.74(8),-0.1740000000000066,-0.0020985599536870324,False,I,3
23,5,84.736,84.82,0.02,84.82(2),0.08399999999998897,0.0009913141993956403,False,I,3
23,8,84.736,84.67,0.03,84.67(3),-0.0660000000000025,-0.0007788897280967062,False,I,3
23,12,84.736,84.31,0.12,84.31(12),-0.42600000000000193,-0.005027379154078572,False,I,3
23,16,84.736,84.58,0.08,84.58(8),-0.1560000000000059,-0.0018410120845922147,False,I,3
24,5,87.425,87.5,0.07,87.50(7),0.07500000000000284,0.0008578781812982882,False,I,3
24,8,87.425,87.69,2.44,87.69(244),0.26500000000000057,0.00303116957392051,False,I,3
24,12,87.425,87.23,0.06,87.23(6),-0.19499999999999318,-0.0022304832713753867,False,I,3
24,16,87.425,87.2,0.08,87.20(8),-0.22499999999999432,-0.002573634543894702,False,I,3
25,5,88.809,87.93,0.47000000000000003,87.93(47),-0.8789999999999907,-0.00989764550890102,False,I,3
25,8,88.809,88.52,0.03,88.52(3),-0.2890000000000015,-0.003254174689502207,False,I,3
25,12,88.809,88.33,0.47000000000000003,88.33(47),-0.4789999999999992,-0.005393597495749296,False,I,3
25,16,88.809,88.7,1.28,88.70(128),-0.10899999999999466,-0.001227353083583811,False,I,3
26,5,92.492,92.96,0.04,92.96(4),0.4679999999999893,0.005059897072179099,False,I,3
26,8,92.492,92.34,0.03,92.34(3),-0.15200000000000102,-0.0016433853738701835,False,I,3
26,12,92.492,92.37,0.05,92.37(5),-0.12199999999999989,-0.0013190329974484267,False,I,3
26,16,92.492,92.24,0.06,92.24(6),-0.25200000000000955,-0.0027245599619427577,False,I,3
27,5,94.651,94.55,0.59,94.55(59),-0.10099999999999909,-0.001067078002345449,False,I,3
27,8,94.651,94.97,0.12,94.97(12),0.3190000000000026,0.003370276066813902,False,I,3
27,12,94.651,94.34,1.44,94.34(144),-0.31099999999999284,-0.0032857550369250494,False,I,3
27,16,94.651,94.34,2.11,94.34(211),-0.31099999999999284,-0.0032857550369250494,False,I,3
28,5,95.871,95.82,0.08,95.82(8),-0.05100000000000193,-0.0005319648277372921,False,I,3
28,8,95.871,95.69,0.05,95.69(5),-0.18099999999999739,-0.0018879536043224477,False,I,3
28,12,95.871,94.66,2.9,94.66(290),-1.2109999999999985,-0.012631556988035992,False,I,3
28,16,95.871,95.13,1.25,95.13(125),-0.7409999999999997,-0.007729136026535654,False,I,3
29,5,98.831,98.87,0.03,98.87(3),0.03900000000000148,0.0003946130262771952,False,I,3
29,8,98.831,98.55,0.06,98.55(6),-0.2810000000000059,-0.0028432374457407687,False,I,3
29,12,98.831,98.69,0.04,98.69(4),-0.14100000000000534,-0.0014266778642329364,False,I,3
29,16,98.831,98.74,0.06,98.74(6),-0.09100000000000819,-0.00092076372798017,False,I,3
30,8,101.318,101.13,0.03,101.13(3),-0.1880000000000024,-0.0018555439309895813,False,II,4
30,12,101.318,101.31,0.03,101.31(3),-0.007999999999995566,-7.895931621227784e-05,False,II,4
30,16,101.318,101.33,0.05,101.33(5),0.012000000000000455,0.00011843897431848689,False,II,4
31,8,103.726,103.5,0.04,103.50(4),-0.2259999999999991,-0.0021788172685729625,False,II,4
31,12,103.726,103.74,0.09,103.74(9),0.013999999999995794,0.00013497098123899304,False,II,4
31,16,103.726,103.66,0.05,103.66(5),-0.0660000000000025,-0.0006362917686983255,False,II,4
32,8,105.447,105.03,0.16,105.03(16),-0.4170000000000016,-0.00395459330279668,False,II,4
32,12,105.447,105.49,0.07,105.49(7),0.042999999999992156,0.0004077877986096537,False,II,4
32,16,105.447,104.46,0.58,104.46(58),-0.987000000000009,-0.009360152493669891,False,II,4
33,8,107.169,106.03,1.12,106.03(112),-1.1389999999999958,-0.01062807341675294,False,II,4
33,12,107.169,106.99,0.17,106.99(17),-0.17900000000000205,-0.0016702591234405663,False,II,4
33,16,107.169,106.93,0.05,106.93(5),-0.2389999999999901,-0.0022301225167724818,False,II,4
34,8,111.03,111.03,0.16,111.03(16),0.0,0.0,False,II,4
34,12,111.03,111.6,2.27,111.60(227),0.5699999999999932,0.005133747635774053,False,II,4
34,16,111.03,110.27,1.73,110.27(173),-0.7600000000000051,-0.006844996847698866,False,II,4
35,8,111.875,111.54,0.19,111.54(19),-0.33499999999999375,-0.002994413407821173,False,II,4
35,12,111.875,111.88,0.07,111.88(7),0.0049999999999954525,4.469273743012695e-05,False,II,4
35,16,111.875,112.86,3.37,112.86(337),0.9849999999999994,0.008804469273743011,False,II,4
36,8,114.32,113.94,0.1,113.94(10),-0.37999999999999545,-0.0033240027991602123,False,II,4
36,12,114.32,114.49,0.09,114.49(9),0.1700000000000017,0.0014870538838348646,False,II,4
36,16,114.32,114.06,0.06,114.06(6),-0.2599999999999909,-0.002274317704688514,False,II,4
37,8,116.227,115.96,0.11,115.96(11),-0.2670000000000101,-0.002297228699011504,False,II,4
37,12,116.227,116.12,0.06,116.12(6),-0.10699999999999932,-0.0009206122501656183,False,II,4
37,16,116.227,115.82,0.2,115.82(20),-0.4070000000000107,-0.0035017680917515783,False,II,4
38,8,118.791,118.77,0.03,118.77(3),-0.021000000000000796,-0.00017678106927293143,False,II,4
38,12,118.791,118.71,0.04,118.71(4),-0.08100000000000307,-0.000681869838624164,False,II,4
38,16,118.791,118.96,0.07,118.96(7),0.16899999999999693,0.0014226667003392256,False,II,4
39,8,121.37,121.27,0.06,121.27(6),-0.10000000000000853,-0.0008239268352970958,False,II,4
39,12,121.37,121.78,0.97,121.78(97),0.4099999999999966,0.0033781000247177766,False,II,4
39,16,121.37,122.26,0.6900000000000001,122.26(69),0.8900000000000006,0.007332948834143533,False,II,4
40,8,122.947,122.99,0.22,122.99(22),0.042999999999992156,0.00034974419871970977,False,II,4
40,12,122.947,123.48,3.23,123.48(323),0.5330000000000013,0.004335201346921854,False,II,4
40,16,122.947,123.12,0.05,123.12(5),0.17300000000000182,0.001407110380895848,False,II,4
41,8,124.257,122.82,0.48,122.82(48),-1.4370000000000118,-0.011564740819430791,False,II,4
41,12,124.257,124.43,0.19,124.43(19),0.17300000000000182,0.0013922756866816502,False,II,4
41,16,124.257,123.85,0.38,123.85(38),-0.4070000000000107,-0.00327546939005457,False,II,4
42,8,127.517,127.46,0.03,127.46(3),-0.05700000000000216,-0.0004469992236329443,False,II,4
42,12,127.517,127.51,0.04,127.51(4),-0.006999999999990791,-5.489464149870834e-05,False,II,4
42,16,127.517,127.36,0.07,127.36(7),-0.15699999999999648,-0.0012312083879011935,False,II,4
43,8,129.579,129.36,0.32,129.36(32),-0.2189999999999941,-0.0016900886717754735,False,II,4
43,12,129.579,129.66,0.12,129.66(12),0.08099999999998886,0.0006251012895607225,False,II,4
43,16,129.579,129.57,0.12,129.57(12),-0.009000000000014552,-6.945569884020213e-05,False,II,4
44,8,131.088,130.84,0.16,130.84(16),-0.24799999999999045,-0.001891858903942317,False,II,4
44,12,131.088,130.91,1.56,130.91(156),-0.17799999999999727,-0.001357866471377985,False,II,4
44,16,131.088,131.22,0.05,131.22(5),0.132000000000005,0.0010069571585500198,False,II,4
45,8,133.498,133.41,0.07,133.41(7),-0.08799999999999386,-0.0006591859054067766,False,II,4
45,12,133.498,134.0,0.36,134.00(36),0.5020000000000095,0.0037603559603889914,False,II,4
45,16,133.498,133.62,0.12,133.62(12),0.1220000000000141,0.0009138713688595642,False,II,4
46,8,134.757,134.34,0.24,134.34(24),-0.4170000000000016,-0.003094458914935785,False,II,4
46,12,134.757,134.89,1.32,134.89(132),0.13299999999998136,0.0009869617162743408,False,II,4
46,16,134.757,134.45,0.27,134.45(27),-0.30700000000001637,-0.002278174788693844,False,II,4
47,8,138.116,138.14,0.08,138.14(8),0.023999999999972488,0.00017376697848165662,False,II,4
47,12,138.116,138.27,0.1,138.27(10),0.15399999999999636,0.0011150047785918819,False,II,4
47,16,138.116,138.12,0.11,138.12(11),0.003999999999990678,2.8961163080241805e-05,False,II,4
48,8,139.736,139.52,0.06,139.52(6),-0.21599999999997976,-0.0015457720272512435,False,II,4
48,12,139.736,139.98,0.09,139.98(9),0.24399999999999977,0.001746149882635826,False,II,4
48,16,139.736,139.72,0.09,139.72(9),-0.015999999999991132,-0.00011450163164818754,False,II,4
49,8,141.124,140.86,0.08,140.86(8),-0.2639999999999816,-0.0018706952750771066,False,II,4
49,12,141.124,141.2,0.05,141.20(5),0.0759999999999934,0.000538533488279764,False,II,4
49,16,141.124,140.57,1.07,140.57(107),-0.554000000000002,-0.003925625690881792,False,II,4
50,8,143.112,142.9,0.09,142.90(9),-0.21199999999998909,-0.0014813572586504912,False,II,4
50,12,143.112,142.72,0.22,142.72(22),-0.3919999999999959,-0.0027391134216557377,False,II,4
