zero_index,omega_over_J,exact_ordinate_published_rounded,measured_ordinate,sigma_ordinate_published,parenthetical_as_published,residual_to_published_rounded,relative_residual_to_published_rounded,sigma_rounded_to_zero,source_table,source_pdf_page,reference_ordinate,reference_neighbor_gap,residual,absolute_residual_over_neighbor_gap,published_sigma_over_neighbor_gap
1,5,14.135,14.07,0.01,14.07(1),-0.0649999999999995,-0.0045985143261407,False,I,3,14.134725141734695,6.887314497036861,-0.06472514173469435,0.009397732855460736,0.0014519447317677032
1,8,14.135,14.06,0.02,14.06(2),-0.0749999999999992,-0.0053059780686239,False,I,3,14.134725141734695,6.887314497036861,-0.07472514173469413,0.010849677587228409,0.0029038894635354064
1,12,14.135,13.99,0.04,13.99(4),-0.1449999999999995,-0.0102582242660063,False,I,3,14.134725141734695,6.887314497036861,-0.14472514173469442,0.021013290709602374,0.005807778927070813
1,16,14.135,14.03,0.03,14.03(3),-0.1050000000000004,-0.0074283692960736,False,I,3,14.134725141734695,6.887314497036861,-0.10472514173469527,0.015205511782531683,0.00435583419530311
2,5,21.022,21.04,0.02,21.04(2),0.0180000000000006,0.0008562458376938,False,I,3,21.022039638771556,3.988817941374134,0.017960361228443134,0.004502677608358293,0.005014016757332893
2,8,21.022,21.0,0.02,21.00(2),-0.0219999999999984,-0.0010465226905146,False,I,3,21.022039638771556,3.988817941374134,-0.022039638771556014,0.005525355906307279,0.005014016757332893
2,12,21.022,20.93,0.05,20.93(5),-0.0919999999999987,-0.0043763676148795,False,I,3,21.022039638771556,3.988817941374134,-0.0920396387715563,0.023074414556972477,0.012535041893332233
2,16,21.022,20.82,0.03,20.82(3),-0.2019999999999981,-0.009608981067453,False,I,3,21.022039638771556,3.988817941374134,-0.20203963877155573,0.050651506722303244,0.007521025135999339
3,5,25.011,24.7,0.03,24.70(3),-0.3109999999999999,-0.0124345288073247,False,I,3,25.01085758014569,3.988817941374134,-0.3108575801456901,0.07793225579972214,0.007521025135999339
3,8,25.011,24.87,0.02,24.87(2),-0.1409999999999982,-0.0056375194914237,False,I,3,25.01085758014569,3.988817941374134,-0.1408575801456884,0.03531311336239213,0.005014016757332893
3,12,25.011,24.87,0.07,24.87(7),-0.1409999999999982,-0.0056375194914237,False,I,3,25.01085758014569,3.988817941374134,-0.1408575801456884,0.03531311336239213,0.01754905865066513
3,16,25.011,24.99,0.04,24.99(4),-0.0210000000000007,-0.0008396305625525,False,I,3,25.01085758014569,3.988817941374134,-0.020857580145690946,0.005229012818395412,0.010028033514665786
4,5,30.425,30.59,0.02,30.59(2),0.1649999999999991,0.0054231717337715,False,I,3,30.424876125859512,2.5101854618796766,0.16512387414048746,0.06578154349473422,0.007967538775012904
4,8,30.425,30.31,0.02,30.31(2),-0.1150000000000019,-0.0037797863599014,False,I,3,30.424876125859512,2.5101854618796766,-0.11487612585951368,0.045763999355446894,0.007967538775012904
4,12,30.425,30.29,0.03,30.29(3),-0.1350000000000015,-0.0044371405094495,False,I,3,30.424876125859512,2.5101854618796766,-0.13487612585951325,0.053731538130459625,0.011951308162519356
4,16,30.425,30.27,0.04,30.27(4),-0.1550000000000011,-0.0050944946589975,False,I,3,30.424876125859512,2.5101854618796766,-0.15487612585951283,0.06169907690547236,0.01593507755002581
5,5,32.935,32.76,0.03,32.76(3),-0.1750000000000042,-0.0053134962805527,False,I,3,32.93506158773919,2.5101854618796766,-0.17506158773919367,0.06974049941636747,0.011951308162519356
5,8,32.935,32.72,0.03,32.72(3),-0.2150000000000034,-0.0065280097161075,False,I,3,32.93506158773919,2.5101854618796766,-0.21506158773919282,0.08567557696639293,0.011951308162519356
5,12,32.935,32.57,0.08,32.57(8),-0.365000000000002,-0.0110824350994383,False,I,3,32.93506158773919,2.5101854618796766,-0.3650615877391914,0.14543211777898915,0.03187015510005162
5,16,32.935,32.29,0.23,32.29(23),-0.6450000000000031,-0.0195840291483225,False,I,3,32.93506158773919,2.5101854618796766,-0.6450615877391925,0.25697766062917027,0.09162669591264841
6,5,37.586,37.64,0.02,37.64(2),0.054000000000002,0.0014367051561752,False,I,3,37.586178158825675,3.332540853321824,0.05382184117432587,0.016150392011151822,0.00600142680323463
6,8,37.586,37.62,0.02,37.62(2),0.0339999999999989,0.0009045921353695,False,I,3,37.586178158825675,3.332540853321824,0.03382184117432274,0.010148965207916255,0.00600142680323463
6,12,37.586,37.39,0.02,37.39(2),-0.1959999999999979,-0.005214707603895,False,I,3,37.586178158825675,3.332540853321824,-0.19617815882567413,0.05886744302928105,0.00600142680323463
6,16,37.586,37.59,0.04,37.59(4),0.0040000000000048,0.0001064226041612,False,I,3,37.586178158825675,3.332540853321824,0.0038218411743287106,0.0011468250030661018,0.01200285360646926
7,5,40.919,40.95,0.02,40.95(2),0.0310000000000059,0.0007575942716099,False,I,3,40.9187190121475,2.4083542687675044,0.03128098785250444,0.012988532566893802,0.008304426080235766
7,8,40.919,40.89,0.03,40.89(3),-0.0289999999999963,-0.0007087172218284,False,I,3,40.9187190121475,2.4083542687675044,-0.028719012147497835,0.011924745673814439,0.012456639120353647
7,12,40.919,40.78,0.03,40.78(3),-0.1389999999999958,-0.0033969549597985,False,I,3,40.9187190121475,2.4083542687675044,-0.13871901214749727,0.05759908911511091,0.012456639120353647
7,16,40.919,40.7,0.04,40.70(4),-0.2189999999999941,-0.0053520369510494,False,I,3,40.9187190121475,2.4083542687675044,-0.21871901214749556,0.09081679343605327,0.016608852160471532
8,5,43.327,42.85,0.09,42.85(9),-0.4769999999999967,-0.0110093013594293,False,I,3,43.327073280915,2.4083542687675044,-0.47707328091500045,0.1980909898107087,0.03736991736106095
8,8,43.327,43.12,0.04,43.12(4),-0.2070000000000007,-0.004777621344658,False,I,3,43.327073280915,2.4083542687675044,-0.20707328091500443,0.0859812377275275,0.016608852160471532
8,12,43.327,43.23,0.04,43.23(4),-0.0970000000000013,-0.0022387887460475,False,I,3,43.327073280915,2.4083542687675044,-0.097073280915005,0.040306894286231014,0.016608852160471532
8,16,43.327,42.74,0.4,42.74(40),-0.5869999999999962,-0.0135481339580399,False,I,3,43.327073280915,2.4083542687675044,-0.5870732809149999,0.24376533325200514,0.16608852160471532
9,5,48.005,48.23,0.04,48.23(4),0.2249999999999943,0.0046870117696072,False,I,3,48.00515088116716,1.7686815965051426,0.22484911883283587,0.12712809319502755,0.02261571561497485
9,8,48.005,47.87,0.06,47.87(6),-0.1350000000000051,-0.0028122070617645,False,I,3,48.00515088116716,1.7686815965051426,-0.13515088116716356,0.07641334733974578,0.03392357342246227
9,12,48.005,47.94,0.06,47.94(6),-0.0650000000000048,-0.0013540256223311,False,I,3,48.00515088116716,1.7686815965051426,-0.06515088116716328,0.036835845013539634,0.03392357342246227
9,16,48.005,47.75,0.09,47.75(9),-0.2550000000000025,-0.0053119466722216,False,I,3,48.00515088116716,1.7686815965051426,-0.255150881167161,0.14426049418466888,0.05088536013369341
10,5,49.774,49.26,0.19,49.26(19),-0.5140000000000029,-0.0103266765781332,False,I,3,49.7738324776723,1.7686815965051426,-0.5138324776723024,0.29051722971936766,0.10742464917113054
10,8,49.774,49.67,0.03,49.67(3),-0.1039999999999992,-0.0020894442881825,False,I,3,49.7738324776723,1.7686815965051426,-0.10383247767229875,0.05870614466587336,0.016961786711231136
10,12,49.774,49.36,0.23,49.36(23),-0.4140000000000015,-0.0083175955318037,False,I,3,49.7738324776723,1.7686815965051426,-0.413832477672301,0.23397794068192973,0.1300403647861054
10,16,49.774,49.23,0.22,49.23(22),-0.544000000000004,-0.010929400892032,False,I,3,49.7738324776723,1.7686815965051426,-0.5438324776723036,0.30747901643059944,0.12438643588236167
11,5,52.97,52.93,0.02,52.93(2),-0.0399999999999991,-0.0007551444213705,False,I,3,52.970321477714464,3.1964890000421584,-0.04032147771446404,0.012614302040123473,0.006256864953934214
11,8,52.97,52.83,0.04,52.83(4),-0.1400000000000005,-0.002643005474797,False,I,3,52.970321477714464,3.1964890000421584,-0.14032147771446546,0.043898626809794984,0.012513729907868427
11,12,52.97,52.88,0.05,52.88(5),-0.0899999999999963,-0.0016990749480837,False,I,3,52.970321477714464,3.1964890000421584,-0.0903214777144612,0.028256464424958116,0.015642162384835536
11,16,52.97,52.78,0.05,52.78(5),-0.1899999999999977,-0.0035869360015102,False,I,3,52.970321477714464,3.1964890000421584,-0.19032147771446262,0.05954078919462963,0.015642162384835536
12,5,56.446,56.56,0.03,56.56(3),0.1140000000000043,0.0020196293802927,False,I,3,56.44624769706339,2.9007963055389583,0.11375230293661076,0.03921416430357593,0.010341987799252281
12,8,56.446,56.58,0.03,56.58(3),0.1340000000000003,0.0023739503242036,False,I,3,56.44624769706339,2.9007963055389583,0.13375230293660678,0.046108822836409415,0.010341987799252281
12,12,56.446,56.28,0.03,56.28(3),-0.1659999999999968,-0.0029408638344611,False,I,3,56.44624769706339,2.9007963055389583,-0.16624769706339038,0.05731105515611242,0.010341987799252281
12,16,56.446,56.49,0.05,56.49(5),0.044000000000004,0.0007795060766042,False,I,3,56.44624769706339,2.9007963055389583,0.04375230293661048,0.015082859438653845,0.017236646332087137
13,5,59.347,59.44,0.05,59.44(5),0.0929999999999964,0.001567054779517,False,I,3,59.34704400260235,1.4847345220074568,0.09295599739764526,0.0626078238363871,0.033676054041228046
13,8,59.347,59.33,0.09,59.33(9),-0.017000000000003,-0.0002864508736752,False,I,3,59.34704400260235,1.4847345220074568,-0.01704400260235417,0.011479495054314207,0.06061689727421047
13,12,59.347,59.35,0.06,59.35(6),0.0030000000000001,5.055015417797216e-05,False,I,3,59.34704400260235,1.4847345220074568,0.0029559973976489573,0.001990926562179115,0.040411264849473646
13,16,59.347,59.08,0.28,59.08(28),-0.267000000000003,-0.0044989637218394,False,I,3,59.34704400260235,1.4847345220074568,-0.26704400260235417,0.1798597652604544,0.18858590263087704
14,5,60.832,60.1,0.48,60.10(48),-0.7319999999999993,-0.0120331404523934,False,I,3,60.83177852460981,1.4847345220074568,-0.7317785246098083,0.49286826281940055,0.32329011879578917
14,8,60.832,60.13,4.14,60.13(414),-0.7019999999999982,-0.0115399789584428,False,I,3,60.83177852460981,1.4847345220074568,-0.7017785246098072,0.472662630394663,2.7883772746136817
14,12,60.832,60.41,1.44,60.41(144),-0.4220000000000041,-0.0069371383482378,False,I,3,60.83177852460981,1.4847345220074568,-0.42177852460981313,0.28407672776378995,0.9698703563873675
14,16,60.832,60.67,0.09,60.67(9),-0.161999999999999,-0.0026630720673329,False,I,3,60.83177852460981,1.4847345220074568,-0.16177852460980802,0.1089612467494007,0.06061689727421047
15,5,65.113,65.53,0.11,65.53(11),0.4170000000000016,0.0064042510712146,False,I,3,65.1125440480816,1.967266481412567,0.4174559519183987,0.21220101895837237,0.05591514979760957
15,8,65.113,64.99,0.04,64.99(4),-0.1230000000000046,-0.0018890236972648,False,I,3,65.1125440480816,1.967266481412567,-0.12254404808160757,0.06229153459353234,0.0203327817445853
15,12,65.113,65.05,0.06,65.05(6),-0.0630000000000023,-0.0009675487229893,False,I,3,65.1125440480816,1.967266481412567,-0.0625440480816053,0.031792361976653236,0.03049917261687795
15,16,65.113,64.92,0.06,64.92(6),-0.1929999999999978,-0.0029640778339194,False,I,3,65.1125440480816,1.967266481412567,-0.19254404808160075,0.09787390264655314,0.03049917261687795
