zero_index,reported_ordinate,uncertainty_not_reported_for_root,source
1,14.12,True,"Wei et al. (2026), Results: Experimental realization; doi:10.1038/s41467-026-74935-8"
2,20.96,True,"Wei et al. (2026), Results: Experimental realization; doi:10.1038/s41467-026-74935-8"
3,25.09,True,"Wei et al. (2026), Results: Experimental realization; doi:10.1038/s41467-026-74935-8"
4,30.44,True,"Wei et al. (2026), Results: Experimental realization; doi:10.1038/s41467-026-74935-8"
5,32.93,True,"Wei et al. (2026), Results: Experimental realization; doi:10.1038/s41467-026-74935-8"
