source_file,beta,zero_neighborhood_index,point_index,encoded_dimensionless_time,x_mean,x_std,y_mean,y_std,abs_mean,abs_std
tscan_beta03_exp.npz,0.3,1,0,12.634725,0.27767013820119074,0.004157661571462347,-0.19906131671998184,0.007283640542142717,0.34171532140914046,0.002338040868673571
tscan_beta03_exp.npz,0.3,1,1,12.934725,0.1336734915499582,0.0053057860481699436,-0.20274298164129834,0.025739539545228493,0.24298173672158785,0.024299529073042538
tscan_beta03_exp.npz,0.3,1,2,13.234725,0.07266396330746673,0.002129216824759976,-0.2369469159030051,0.004926338517411937,0.24784048499046377,0.005223232165477749
tscan_beta03_exp.npz,0.3,1,3,13.534725,-0.025533828508347168,0.0064810379874752615,-0.12088611202674289,0.004803615157422154,0.12364551376208865,0.00555892800756634
tscan_beta03_exp.npz,0.3,1,4,13.834724999999999,-0.07864681805613087,0.007293506031767385,-0.06620396005042369,0.0102909703428202,0.10326798219079793,0.0038877444954847685
tscan_beta03_exp.npz,0.3,1,5,14.134725,-0.021928123409088996,0.003557528610518498,0.047025599655734295,0.003085308589141283,0.05192160940276555,0.004095031536302212
tscan_beta03_exp.npz,0.3,1,6,14.434725,-0.04083087308282105,0.0071038188576948574,0.09089074652515299,0.0018675547572651683,0.09975600499176808,0.004415111115862242
tscan_beta03_exp.npz,0.3,1,7,14.734725,0.07359016373476661,0.011627492438112171,0.11359072958811367,0.018174396274916967,0.13558119396483592,0.019226702662312075
tscan_beta03_exp.npz,0.3,1,8,15.034725,0.09173338145805132,0.003572515036570383,0.15648324282417705,0.01030196537165089,0.181403274705792,0.010545097485358186
tscan_beta03_exp.npz,0.3,1,9,15.334724999999999,0.22340006955941782,0.008021182118986045,0.17437923770591393,0.005237557252386465,0.283493462540243,0.0035384808952782245
tscan_beta03_exp.npz,0.3,1,10,15.634725,0.25117252205990087,0.012383880536750458,0.06285805554689318,0.009697351535024438,0.2589723060117562,0.014337805967924904
tscan_beta03_exp.npz,0.3,2,0,19.52204,0.21391438787486583,0.019983203317872313,0.11034311472256225,0.011018305386448844,0.24081153055097562,0.020925918350454008
