target,z_abs,pixels,ncomp,Q0,Q1,nu0,nu1,delta_Q,extra_shifts,diagnostic_H1_status,D_m_s,conditional_local_error_m_s,diagnostic_only_D_m_s,adequacy_flag,both_optimizer_stopped,source_summary
J232128-105122,1.629,130,3,75.15888744252929,68.99884187763574,101,97,6.160045564893551,4,conditional_common_pair_companion_complete,-339.97055338286276,179.5813132807154,,True,True,results/common_pair/refined_summary.json
J225719-100104,1.836,504,30,421.24821511850905,407.71691680209335,402,400,13.5312983164157,2,conditional_H1_complete_sparse_profile_partly_capped,-15.737705306861711,228.84111449638414,,True,True,results/archive_complete/J225719-100104/selected_pair.json
J053007-250329,2.141,480,16,482.29846556457426,478.12242819501773,416,413,4.176037369556525,3,conditional_H1_and_sparse_profile_completed,268.7808447321309,130.0940643010236,,True,True,results/archive_complete/J053007-250329/selected_pair.json
J233156-090802,2.143,1176,26,1672.841768419044,1667.2984871179206,1086,1084,5.543281301123443,2,failed_primary_model_H1_did_not_repair_total_and_2382_mismatch,,,-11.861444258589783,False,True,results/archive_complete/J233156-090802/failure_pair/summary.json
J004131-493611,2.248,138,6,95.22846063001326,87.25491207356842,108,106,7.97354855644484,2,conditional_common_pair_companion_complete,-120.1100480781359,399.412200684418,,True,True,results/common_pair/refined_summary.json
J064326-504112,2.659,436,16,532.2252737539015,527.587722694254,372,369,4.637551059647535,3,failed_primary_model_H1_did_not_repair_weak_1611_mismatch,,,-217.02014119161652,False,True,results/archive_complete/J064326-504112/failure_pair/summary.json
