target,z_abs,cosmic_age_Gyr,G2_z3_normalized,h2_minus_1,observed_2374_AA,observed_2382_AA,observed_pair_separation_AA,velocity_slope_m_s_per_AA_that_exactly_mimics_A_100_m_s
J232128-105122,1.629,3.965962981911199,0.664833339577895,0.018018154943557668,6242.4555082303405,6264.286542734477,21.831034504136813,3.045358842027913
J225719-100104,1.836,3.553115917313673,0.7243157527132995,0.01963023314795532,6733.96874147632,6757.518689689988,23.54994821366756,3.075657517976758
J053007-250329,2.141,3.060446116475909,0.8053127135911166,0.02182539350495603,7458.179060993342,7484.261708151005,26.082647157662127,3.087542106915882
J233156-090802,2.143,3.0575902861503006,0.8058201342125914,0.02183914549787668,7462.927981121323,7489.0272361409125,26.099255019589958,3.087521592504258
J004131-493611,2.248,2.9135716054188023,0.8320576631253505,0.022550228762122003,7712.2462878402985,7739.2174556111,26.97116777080121,3.0849893864296454
J064326-504112,2.659,2.444187250611145,0.9278192418834149,0.025145536279037442,8688.149374140286,8718.533457537258,30.38408339697094,3.053635779501288
