omega_over_J,first_index,last_index,count,median_absolute_residual,median_published_sigma,central_residual_exceeds_one_gap,published_sigma_exceeds_one_gap
5,1,18,18,0.17009273093984056,0.03,0,0
5,19,80,11,0.3048400688747961,0.08,0,0
5,1,80,29,0.17506158773919367,0.04,0,0
8,1,18,18,0.12814817550910718,0.03,0,1
8,19,80,62,0.18424261698834954,0.08499999999999999,3,10
8,61,80,20,0.1279958857011394,0.195,2,7
8,1,80,80,0.14058952893007692,0.065,3,11
12,1,18,18,0.13978829614659283,0.06,0,0
12,19,80,62,0.17551608510943595,0.165,1,12
12,61,80,20,0.1267832160584561,0.18,0,3
12,1,80,80,0.16928138112737656,0.1,1,12
16,1,18,18,0.19143276289803168,0.065,0,0
16,19,80,62,0.19971881260734392,0.14500000000000002,2,12
16,61,80,20,0.20073416613442419,0.375,1,5
16,1,80,80,0.19506793283782997,0.13,2,12
