cosmic_age_Gyr,exponent,normalized_delta_cos
1.0,1,1.0190719155480583
1.023292992280754,1,1.0189014377982222
1.0471285480508996,1,1.018731017076358
1.0715193052376064,1,1.0185606533538547
1.096478196143185,1,1.0183903466021211
1.1220184543019633,1,1.018220096792585
1.1481536214968828,1,1.018049903896693
1.1748975549395295,1,1.0178797678859108
1.202264434617413,1,1.0177096887317238
1.2302687708123814,1,1.0175396664056355
1.2589254117941673,1,1.0173697008791691
1.288249551693134,1,1.0171997921238667
1.318256738556407,1,1.0170299401112892
1.3489628825916535,1,1.016860144813017
1.3803842646028848,1,1.0166904062006488
1.4125375446227544,1,1.0165207242458025
1.4454397707459274,1,1.0163510989201152
1.4791083881682074,1,1.0161815301952428
1.5135612484362082,1,1.0160120180428602
1.5488166189124812,1,1.0158425624346605
1.5848931924611136,1,1.015673163342357
1.62181009735893,1,1.0155038207376805
1.6595869074375607,1,1.0153345345923817
1.6982436524617444,1,1.0151653048782292
1.7378008287493754,1,1.0149961315670113
1.7782794100389228,1,1.0148270146305347
1.8197008586099834,1,1.0146579540406249
1.8620871366628675,1,1.0144889497691258
1.9054607179632472,1,1.014320001787901
1.9498445997580451,1,1.0141511100688319
1.9952623149688795,1,1.0139822745838192
2.041737944669529,1,1.0138134953047817
2.0892961308540396,1,1.013644772203658
2.137962089502232,1,1.013476105252404
2.1877616239495525,1,1.0133074944229952
2.23872113856834,1,1.0131389396874253
2.290867652767773,1,1.0129704410177072
2.344228815319922,1,1.0128019983858718
2.3988329190194904,1,1.012633611763969
2.4547089156850306,1,1.0124652811240669
2.51188643150958,1,1.0122970064382524
2.570395782768864,1,1.012128787678631
2.6302679918953817,1,1.0119606248173265
2.6915348039269156,1,1.0117925178264817
2.7542287033381663,1,1.0116244666782575
2.8183829312644537,1,1.0114564713448333
2.884031503126606,1,1.0112885317984073
2.951209226666386,1,1.0111206480111956
3.019951720402016,1,1.0109528199554334
3.0902954325135905,1,1.010785047603374
3.1622776601683795,1,1.0106173309272888
3.2359365692962827,1,1.0104496698994683
3.311311214825911,1,1.0102820644922206
3.3884415613920256,1,1.0101145146778732
3.4673685045253166,1,1.0099470204287708
3.548133892335755,1,1.0097795817172772
3.630780547701014,1,1.0096121985157742
3.715352290971726,1,1.0094448707966623
3.8018939632056115,1,1.0092775985323597
3.890451449942806,1,1.0091103816953033
3.9810717055349722,1,1.008943220257948
4.073802778041127,1,1.0087761141927674
4.168693834703354,1,1.0086090634722529
4.265795188015926,1,1.0084420680689141
4.36515832240166,1,1.008275127955279
4.466835921509632,1,1.0081082431038941
4.570881896148751,1,1.0079414134873232
4.677351412871983,1,1.0077746390781492
4.786300923226384,1,1.0076079198489725
4.8977881936844625,1,1.0074412557724117
5.011872336272724,1,1.0072746468211038
5.1286138399136485,1,1.0071080929677039
5.248074602497725,1,1.006941594184885
5.370317963702527,1,1.006775150445338
5.495408738576245,1,1.0066087617217723
5.62341325190349,1,1.0064424279869149
5.7543993733715695,1,1.006276149213511
5.88843655355589,1,1.0061099253743242
6.025595860743578,1,1.0059437564421354
6.165950018614822,1,1.0057776423897438
6.309573444801933,1,1.0056115831899666
6.4565422903465555,1,1.005445578815639
6.606934480075961,1,1.005279629239614
6.760829753919819,1,1.0051137344347625
6.918309709189364,1,1.0049478943739734
7.079457843841379,1,1.0047821090301536
7.244359600749901,1,1.0046163783762276
7.413102413009175,1,1.0044507023851381
7.5857757502918375,1,1.0042850810298452
7.762471166286917,1,1.0041195142833272
7.943282347242816,1,1.00395400211858
8.128305161640993,1,1.0037885445086177
8.31763771102671,1,1.0036231414264714
8.511380382023766,1,1.0034577928451907
8.709635899560807,1,1.0032924987378427
8.912509381337456,1,1.0031272590775124
9.120108393559097,1,1.0029620738373022
9.33254300796991,1,1.0027969429903325
9.549925860214358,1,1.0026318665097411
9.772372209558107,1,1.002466844368684
10.0,1,1.0023018765403342
10.232929922807541,1,1.002136962997883
10.471285480508996,1,1.001972103714539
10.715193052376065,1,1.0018072986635282
10.964781961431852,1,1.001642547818095
11.220184543019636,1,1.0014778511515003
11.481536214968829,1,1.0013132086370238
11.748975549395297,1,1.0011486202479616
12.02264434617413,1,1.000984085957628
12.302687708123818,1,1.0008196057393548
12.589254117941675,1,1.0006551795664915
12.882495516931343,1,1.0004908074124046
13.182567385564074,1,1.0003264892504782
13.48962882591654,1,1.0001622250541145
13.803842646028853,1,0.9999980147967323
14.125375446227547,1,0.9998338584517685
14.454397707459272,1,0.9996697559926772
14.791083881682072,1,0.9995057073929298
15.13561248436208,1,0.9993417126260153
15.488166189124811,1,0.9991777716654402
15.848931924611133,1,0.999013884484728
16.218100973589298,1,0.99885005105742
16.595869074375607,1,0.9986862713570744
16.98243652461744,1,0.9985225453572671
17.378008287493753,1,0.9983588730315913
17.78279410038923,1,0.9981952543536573
18.197008586099834,1,0.9980316892970928
18.620871366628673,1,0.997868177835543
19.054607179632473,1,0.99770471994267
19.498445997580454,1,0.9975413155921532
19.952623149688797,1,0.9973779647576897
20.417379446695296,1,0.9972146674129931
20.892961308540396,1,0.997051423531795
21.379620895022324,1,0.9968882330878435
21.87761623949553,1,0.9967250960549042
22.3872113856834,1,0.99656201240676
22.908676527677734,1,0.9963989821172108
23.442288153199225,1,0.9962360051600735
23.98832919019491,1,0.9960730815091824
24.547089156850312,1,0.9959102111383888
25.11886431509581,1,0.995747394021561
25.703957827688633,1,0.9955846301325846
26.302679918953814,1,0.9954219194453621
26.915348039269155,1,0.995259261933813
27.542287033381662,1,0.995096657571874
28.183829312644534,1,0.994934106333499
28.84031503126606,1,0.9947716081926584
29.512092266663856,1,0.99460916312334
30.19951720402016,1,0.9944467710995486
30.902954325135905,1,0.9942844320953057
31.622776601683793,1,0.99412214608465
32.359365692962825,1,0.993959913041637
