zero_index,reference_ordinate_40digits,reported_ordinate,residual_reported_minus_reference,root_standard_deviation
1,14.13472514173469379045725198356247027078,14.12,-0.01472514173469379,
2,21.02203963877155499262847959389690277733,20.96,-0.062039638771554995,
3,25.01085758014568876321379099256282181866,25.09,0.07914241985431124,
4,30.42487612585951321031189753058409132018,30.44,0.01512387414048679,
5,32.93506158773918969066236896407490348881,32.93,-0.0050615877391896906,
