z,age_Gyr,h2_minus_one,G2_z3_normalized
0,13.796234644007173,-0.0,-0.0
1,5.845621944043445,0.012359238589616343,0.45603081402696727
1.1508,5.2814581441580035,0.013835111350944064,0.5104875228175855
1.4,4.521079371090575,0.016101942519491846,0.5941289911458246
2,3.273357360134374,0.020835421652688972,0.7687847619394328
3,2.142006656103565,0.027101762006997807,1.0
3.025,2.122298297804137,0.027238990678172217,1.0050634593846326
4,1.5368584565315335,0.03204797495754871,1.1825052167926855
5,1.1705426102287835,0.0361310418891323,1.3331620977190741
