scenario,N,sigma_B_mps,sigma_B_no_floor_mps
UVES_archive_planning,6,249.76471451973947,224.2280877699194
UVES_archive_planning,12,192.9852195030744,158.55320139460216
UVES_archive_planning,18,169.89287523561424,129.45814683383776
UVES_archive_planning,24,157.07875766764673,112.11404388495923
UVES_archive_planning,30,148.86176252874228,100.27784934366508
UVES_archive_planning,36,143.1219171370976,91.54073350604996
UVES_archive_planning,42,138.87686028799686,84.75025102782351
UVES_archive_planning,48,135.60588738064365,79.27660069730075
UVES_archive_planning,54,133.00619484842147,74.74269592330657
UVES_archive_planning,60,130.88926926477922,70.90714727370896
UVES_archive_planning,66,129.1314289470062,67.6073122356091
UVES_archive_planning,72,127.6480717425265,64.72907341691912
UVES_archive_planning,78,126.3793252045957,62.189682142591785
UVES_archive_planning,84,125.28160199651013,59.927477209037846
UVES_archive_planning,90,124.32240196562621,57.895443312323266
UVES_archive_planning,96,123.47698969132749,56.05702194248099
UVES_archive_planning,102,122.72620148019838,54.38329941798018
UVES_archive_planning,108,122.05495717550558,52.85106713153516
UVES_archive_planning,114,121.45122554780772,51.44145131013023
UVES_archive_planning,120,120.90528955103662,50.13892467183456
ESPRESSO_narrow_redshift_planning,6,187.31773733749503,174.36595114797103
ESPRESSO_narrow_redshift_planning,12,141.01841107234878,123.29534646477096
ESPRESSO_narrow_redshift_planning,18,121.73308824944955,100.67022883278577
ESPRESSO_narrow_redshift_planning,24,110.83916740681681,87.18297557398552
ESPRESSO_narrow_redshift_planning,30,103.75522534045814,77.97882394565188
ESPRESSO_narrow_redshift_planning,36,98.75068246916405,71.18460147126306
ESPRESSO_narrow_redshift_planning,42,95.01476090605387,65.90413483639492
ESPRESSO_narrow_redshift_planning,48,92.11343776272845,61.64767323238548
ESPRESSO_narrow_redshift_planning,54,89.79206419601759,58.12198371599213
ESPRESSO_narrow_redshift_planning,60,87.89083168041124,55.139355200928776
ESPRESSO_narrow_redshift_planning,66,86.30413070081102,52.573312379211885
ESPRESSO_narrow_redshift_planning,72,84.95924637619805,50.33511441640129
ESPRESSO_narrow_redshift_planning,78,83.80441164229902,48.36041365840016
ESPRESSO_narrow_redshift_planning,84,82.80173485964148,46.601260651061814
ESPRESSO_narrow_redshift_planning,90,81.9228221935212,45.021094996126955
ESPRESSO_narrow_redshift_planning,96,81.14596483489373,43.591487787004255
ESPRESSO_narrow_redshift_planning,102,80.45427329169652,42.289954946735364
ESPRESSO_narrow_redshift_planning,108,79.83440547182346,41.098448821595014
ESPRESSO_narrow_redshift_planning,114,79.27567860529025,40.002292644652485
ESPRESSO_narrow_redshift_planning,120,78.76943599828894,38.98941197282758
ANDES_conditional_2035plus,6,34.58522813758545,32.871336955209266
ANDES_conditional_2035plus,12,25.61006850278585,23.243545267696476
ANDES_conditional_2035plus,18,21.812568468207235,18.978275239712843
ANDES_conditional_2035plus,24,19.640377043520733,16.435668477604416
ANDES_conditional_2035plus,30,18.21313182158742,14.700508788629566
ANDES_conditional_2035plus,36,17.195949454539598,13.41966711722577
ANDES_conditional_2035plus,42,16.430882412459336,12.424197549384386
ANDES_conditional_2035plus,48,15.832839646089708,11.621772633848195
ANDES_conditional_2035plus,54,15.351596739884162,10.957112318403029
ANDES_conditional_2035plus,60,14.955456911382734,10.394829451332468
ANDES_conditional_2035plus,66,14.623362772036247,9.911081003433786
ANDES_conditional_2035plus,72,14.34074422317471,9.489137619856493
ANDES_conditional_2035plus,78,14.097180707230414,9.116868529620152
ANDES_conditional_2035plus,84,13.885011864561044,8.785234337971099
ANDES_conditional_2035plus,90,13.698474306315806,8.487342706340032
ANDES_conditional_2035plus,96,13.533144929481836,8.217834238802533
ANDES_conditional_2035plus,102,13.385570367385434,7.972470254211813
ANDES_conditional_2035plus,108,13.25301351712029,7.747848422565706
ANDES_conditional_2035plus,114,13.133275983737429,7.5412018908861205
ANDES_conditional_2035plus,120,13.024571078046053,7.350254394315202
