target,transition,z_abs,observed_wavelength_A,median_CNR_per_1p3kms_pixel,design_status,photon_only_exposure_factor_to_CNR30,photon_only_exposure_factor_to_CNR50,exposure_factor_caveat
J051707-441055,FeII_1608.4509,1.1508,3459.4561957200003,127.88919691428327,CANDIDATE_REQUIRES_FULL_CALIBRATION,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J051707-441055,FeII_2344.2128,1.1508,5041.93289024,229.67428455449547,PUBLISHED_BLEND_REVIEW,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J051707-441055,FeII_2374.4601,1.1508,5106.98878308,229.42170702439773,CANDIDATE_REQUIRES_FULL_CALIBRATION,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J051707-441055,FeII_2382.7642,1.1508,5124.849241360001,238.93032359821132,DEEP_SATURATION_REVIEW,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J051707-441055,FeII_2586.6493,1.1508,5563.3653144400005,248.37856438910308,PUBLISHED_BLEND_REVIEW,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J051707-441055,FeII_2600.1725,1.1508,5592.451013000001,236.2177186131343,DEEP_SATURATION_REVIEW,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_1608.4509,3.025,6474.014872500001,86.10365453166912,CANDIDATE_REQUIRES_FULL_CALIBRATION,1.0,1.0,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_2344.2128,3.025,9435.45652,42.55685709515169,TELLURIC_SCREEN_ONLY,1.0,1.3803871718621255,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_2374.4601,3.025,9557.2019025,24.891994667635725,TELLURIC_SCREEN_ONLY,1.4525233107879754,4.034786974411041,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_2382.7642,3.025,9590.625905,21.421598946431317,TELLURIC_SCREEN_ONLY,1.9612761222074664,5.447989228354074,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_2586.6493,3.025,10411.263432500002,1.3118214999881852,LOW_SNR_EXCLUDE,522.9895612354284,1452.748781209523,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
J034943-381030,FeII_2600.1725,3.025,10465.694312500002,2.063353468057166,LOW_SNR_EXCLUDE,211.39525987987315,587.2090552218698,"Assumes identical throughput, background regime and independent photon noise; not telescope time or correction for blends/tellurics"
