target,alias,z_abs_reference,transition,status,centroid_reportable_as_profile_descriptor,rest_wavelength_NIST_Ritz_A,rest_wavelength_uncertainty_equivalent_m_s,v_min_km_s,v_max_km_s,n_pixels,coverage_fraction,median_continuum_to_error,flux_min,flux_percentile05,fraction_pixels_flux_below_0p1,fraction_pixels_flux_below_3sigma,rest_EW_mA,rest_EW_error_diagonal_mA,rest_EW_error_expected_fluctuation_diagonal_mA,expected_fluctuation_valid_all_selected_pixels,EW_diagonal_signal_to_noise,centroid_km_s,centroid_error_diagonal_km_s,centroid_error_expected_fluctuation_diagonal_km_s,rest_EW_continuum_1pct_max_change_mA,centroid_continuum_1pct_max_change_km_s,rest_EW_range_10kms_max_change_mA,centroid_range_10kms_max_change_km_s,rest_EW_error_MC_mA,centroid_error_MC_km_s,mc_EW_to_analytic_error_ratio,mc_centroid_to_analytic_error_ratio,rest_EW_error_assumed_AR1_rho0p3_mA,centroid_error_assumed_AR1_rho0p3_km_s,rest_EW_error_assumed_AR1_rho0p6_mA,centroid_error_assumed_AR1_rho0p6_km_s
J051707-441055,HE 0515−4414,1.1508,Fe II 1608,descriptive_profile_only,True,1608.45083,14.910867,-25.0,110.0,105,1.0,139.08774709467292,0.3693260141434917,0.4591749182508566,0.0,0.0,179.19801588836862,0.49902896730396196,0.4386857741680131,True,359.09341466989,33.88312483813622,0.1170740711532529,0.10302715959129918,5.506120564789718,0.3629576103971175,4.506852179728154,1.0258480598663482,0.4974835415788414,0.11746124136440232,0.9969031342339307,1.00330705345202,0.6781397306994238,0.15841834431815882,0.9883089726010422,0.22838778341777058
J051707-441055,HE 0515−4414,1.1508,Fe II 2344,descriptive_profile_only,True,2344.21274,12.78862,-25.0,110.0,105,1.0,303.73647218684124,0.0827328460225328,0.12778517807888606,0.02857142857142857,0.0,506.05098677228676,0.3456827777321906,0.349849420882887,True,1463.9172656855285,35.30562326815193,0.03084163993098612,0.031233087071751583,5.5512629833063265,0.15327249482417216,16.767858358088862,1.0662390039733438,0.34716980606777514,0.03143951052487286,1.0043017136848413,1.0193851752119727,0.4687403426901065,0.04161262761505664,0.6796965833018681,0.05966738569156902
J051707-441055,HE 0515−4414,1.1508,Fe II 2374,descriptive_profile_only,True,2374.46004,12.625711,-25.0,110.0,105,1.0,236.37154225114634,0.41505653933072295,0.5371702284548591,0.0,0.0,220.8384705820446,0.4356090172305649,0.47206084769524437,True,506.9648741113096,33.87141978364703,0.08270590049826546,0.08964543112891021,8.56978039832415,0.4390319604909152,5.513920018085594,0.8108433363161325,0.43893061346943807,0.08336665593494426,1.0076251778716396,1.0079892176096028,0.5917742711214252,0.11182192579183584,0.8623517404210135,0.1611395287147737
J051707-441055,HE 0515−4414,1.1508,Fe II 2382,descriptive_profile_only,True,2382.76386,12.581711,-25.0,110.0,105,1.0,484.9328534100929,0.008226882938886041,0.010645916053501134,0.3619047619047619,0.0,757.1072388074444,0.26379493308619356,0.26594136066300433,True,2870.0598224154055,35.60673388894129,0.01776891222597707,0.017923837648105668,3.1906949200547485,0.09909703177546447,35.88802754511733,1.6601653978583428,0.26612349590251405,0.017641940245903653,1.0088271703670655,0.992854262632476,0.35642950437946164,0.02388823822861109,0.5133599356915364,0.03404313991398489
J051707-441055,HE 0515−4414,1.1508,Fe II 2586,descriptive_profile_only,True,2586.64928,12.748992,-25.0,110.0,105,1.0,301.10009318517143,0.15579503637104553,0.23016291133867373,0.0,0.0,442.98149678785904,0.3775600290825452,0.40068390440739826,True,1173.2743475634463,34.6234530211911,0.037435151902492934,0.0397625710676302,7.291075699269012,0.21270283291380565,12.45558242810435,0.9777033024231869,0.379426592448861,0.037132900107961365,1.0049437525758524,0.9919259899006463,0.5125866636773007,0.050601840938165006,0.7451062099428133,0.07275971369816146
J051707-441055,HE 0515−4414,1.1508,Fe II 2600,descriptive_profile_only,True,2600.17206,12.682688,-25.0,110.0,104,1.0,433.0734126019489,0.012650260961232687,0.01964059182081173,0.3173076923076923,0.0,777.2664738154635,0.3081791713346599,0.30954218342519696,True,2522.1252638498704,35.34613564202673,0.01973517332569447,0.01983417402256309,3.9759695043600773,0.1094152815898255,33.31077952070183,1.5854757152505812,0.30612875137357093,0.01984077806760895,0.9933466627474886,1.0053510926999047,0.41651155432865494,0.026529787366903635,0.6006609345864721,0.03785061116805058
J034943-381030,Q0347−3819,3.025,Fe II 1608,descriptive_profile_only,True,1608.45083,14.910867,-80.0,35.0,90,1.0,96.26171987449857,0.12211239159657901,0.16224479552376395,0.0,0.0,235.56812684248536,0.651137964270095,0.5504511806751914,True,361.779130950458,-20.194087888398347,0.10814092179597136,0.09211067618219428,3.852843796001287,0.06202086275120777,5.147312809614585,1.2603308666950568,0.6540194071730583,0.10852953217254792,1.0044252417476431,1.0035935552436823,0.8833163709145971,0.1459817094620369,1.2819029787242178,0.20927803357493538
J034943-381030,Q0347−3819,3.025,Fe II 2344,screen_only_telluric_risk,True,2344.21274,12.78862,-80.0,35.0,89,1.0,59.055604623397464,-0.026653234300064454,-0.004516429410937559,0.38202247191011235,0.2808988764044944,585.7654750524808,1.807344435313133,2.000073821488734,True,324.1028459254329,-25.733456478411416,0.11782403927948411,0.13043849976347863,3.166378856092056,0.05041226121777598,28.611506252233852,1.9464528396017151,1.800289067292939,0.11884060564768123,0.9960962792247336,1.008627834985234,2.45190128093926,0.15894312684706205,3.561312450126284,0.22791599839832735
J034943-381030,Q0347−3819,3.025,Fe II 2374,screen_only_telluric_risk,True,2374.46004,12.625711,-80.0,35.0,90,1.0000000000000002,25.44998331276498,0.014682529218560551,0.11785517172377089,0.044444444444444446,0.022222222222222223,353.9280068897984,5.001241985571543,5.2846238790253315,True,70.76802280530951,-17.600909926136485,0.5262130456255143,0.555912992884483,5.625371718797845,0.1294092952799737,7.408913668962458,1.0312491466052904,5.005013474400543,0.5275556403278212,1.000754110446941,1.0025514280070935,6.760370225185013,0.7095384811832549,9.68730059651756,1.0114388535366843
J034943-381030,Q0347−3819,3.025,Fe II 2382,screen_only_telluric_risk,True,2382.76386,12.581711,-80.0,35.0,89,1.0,29.603875332404623,-0.06875904518405727,-0.035739240572932936,0.5280898876404494,0.5393258426966292,645.0359265055013,3.719599739099372,4.175356483295567,True,173.41541341802653,-16.927190588856135,0.22044296133018712,0.2472198641932681,2.7170627796063718,0.0801025720280748,53.9835069950938,4.5089697886980975,3.7441182251887097,0.22179114189446283,1.006591700131497,1.0061157795927826,5.046349513209492,0.297166997873918,7.334986027527513,0.4261841452782341
