obs_wl_vac(A)	ritz_wl_vac(A)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2796.352"	"2796.352"	"13g"	"2.60e+08"	A+	"0.00"	"35760.88"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"3/2"		"c31,T6870,T5467,T6659,c23"	"L7414"	
""	"2796.352"	""	"3.80e-03"	B+	"0.00"	"35760.88"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"3/2"	M2	"c28"	""	
"2803.530"	"2803.531"	"12g"	"2.57e+08"	A+	"0.00"	"35669.31"	"2p6.3s"	"2S"	"1/2"	"2p6.3p"	"2P*"	"1/2"		"c31,T6870,T5467,T6659,c23"	"L7414"	
