name,free_shifts,chi2,ndata,npar,rank,success,nfev,optimality,oversample,error_row,shift2382_m_s,shift2600_m_s,bound_count,lsf_fwhm_km_s,source_sha256
uves_clean_alternative,True,1390.1454416986978,511,146,144,False,240,2.1550258579300245,7,1,83.31023659526798,75.90904375050867,2,"{2374: np.float64(5.583143213647198), 2382: np.float64(5.583143213647198), 2600: np.float64(5.583143213647198)}",1aa7a0bcf55a16c0ae850e5d2a8ac1349d9af3a5b737d3e15981f9fdbdc2991c
uves_clean_null,False,1399.0901130580285,511,144,142,False,160,19.710091972657526,7,1,0,0,2,"{2374: np.float64(5.583143213647198), 2382: np.float64(5.583143213647198), 2600: np.float64(5.583143213647198)}",6d26dd07cbc022d5580a1e47c20eeb41c0e83aa31f7f82aa75b36f83d776913c
uves_expected_alternative,True,388.5064208045242,511,149,148,False,350,0.05238442543933414,21,2,-139.82839922694654,-131.91453272502608,12,"{2374: np.float64(3.629043088870679), 2382: np.float64(3.6891643468343336), 2600: np.float64(3.7314752103816495)}",32b39d2a2317266b5b77a3c9f5e4fb14cedb217c3f4236d1942822f1ca45cf69
uves_expected_alternative_continued,True,388.1353622700115,511,149,149,True,385,0.04114619692047106,21,2,-140.23113142270964,-132.27058295342533,12,"{2374: np.float64(3.629043088870679), 2382: np.float64(3.680375731713307), 2600: np.float64(3.723345696958441)}",e955656d4d94adc247f0bda8ec1a1aeae5ba4c97e829e8150c2d1c2b543728c2
uves_expected_null,False,405.42852410688243,511,147,147,False,350,0.688615282600649,21,2,0,0,8,"{2374: np.float64(3.945622532232959), 2382: np.float64(3.944478534754535), 2600: np.float64(4.003398216430654)}",d1801548139b23f663e932767f919be0d6487ad2cc536b1b11f0c5a7d1c60dc0
uves_expected_null_continued,False,398.1177618787831,511,147,147,False,500,0.3869989456108965,21,2,0,0,12,"{2374: np.float64(3.676942009507206), 2382: np.float64(3.718635784067873), 2600: np.float64(3.7658450988280165)}",2481becf6fac109f9643eed08337a140914a7eda3b2cb96dc4a0f54ed8a41e23
uves_expected_null_cross,False,398.3954932578505,511,147,147,False,400,1.351683096984568,21,2,0,0,11,"{2374: np.float64(3.677410053008907), 2382: np.float64(3.7216907602712657), 2600: np.float64(3.768190402282705)}",a8d5b7b495cecc800e312e7737281c9998f8138cb232add51c4769c163b752ec
uves_flex_alternative,True,445.97248857276895,511,149,148,False,220,2.400870573722729,7,1,-68.32718401494365,-63.996737610744454,0,"{2374: np.float64(3.955319714916993), 2382: np.float64(3.8982016848440595), 2600: np.float64(3.9584077522274836)}",0ebbf3cd8ea3530c7618a936c8df6959d4f65a6d44696140ab4d09e2007f946a
uves_flex_alternative_polished,True,442.1872816981399,511,149,149,False,600,5.736022136563684,7,1,-72.24551159951852,-67.48227418929216,0,"{2374: np.float64(3.955202743348033), 2382: np.float64(3.885140998689132), 2600: np.float64(3.9446193484610523)}",71c0a0385fac00e926ca2395d395a637fa83ae4c4e3a42da8a3d73bd98356257
uves_flex_null,False,451.9928918896496,511,147,146,False,200,6.013362608806552,7,1,0,0,0,"{2374: np.float64(3.992732862839882), 2382: np.float64(3.9367602945087143), 2600: np.float64(3.9990632043892704)}",311bc187ae02f99034db315c57fd0279d38f6da2463e4aa371ff814521906c10
uves_flex_null_polished,False,446.2018237351645,511,147,147,False,600,4.302073873397747,7,1,0,0,0,"{2374: np.float64(4.008075396737371), 2382: np.float64(3.908754648321606), 2600: np.float64(3.9699750920721413)}",a3c1d3c728304ca3dccfb1df6be746ba2e9d6d055b972141cbec12fe7ba1b86f
uves_opacity_alternative,True,386.56988290981104,511,151,151,False,350,0.15886429357273454,21,2,-139.75123110579352,-130.9428669309536,12,"{2374: np.float64(3.629043088870679), 2382: np.float64(3.629084378181599), 2600: np.float64(3.6597419245514007)}",06f97d297ac9320f57a4592185d8dd6c4154e363c103640fd7627bbcf3f1d6b5
uves_opacity_null,False,396.724228365658,511,149,149,False,350,1.3217902666356314,21,2,0,0,12,"{2374: np.float64(3.657580310940303), 2382: np.float64(3.660126572258296), 2600: np.float64(3.6939077273223195)}",170db5290ed65883822d7e2618be666a4b48b821eb11250e4ff4096870e3dcc4
uves_refined_alternative,True,406.84729243541074,511,149,149,True,554,0.001894662638571249,21,1,-139.22183477799734,-131.66044223408093,12,"{2374: np.float64(3.629043088870679), 2382: np.float64(3.6969225658961102), 2600: np.float64(3.7389750261023202)}",05d47210fc4f29338548b245c73f09baf212afb8192831a20748b6120c7dcd3c
uves_refined_null,False,427.11878714129205,511,147,147,False,700,0.4778069595568757,21,1,0,0,8,"{2374: np.float64(3.9789513646681343), 2382: np.float64(3.9098954506725647), 2600: np.float64(3.9637067068442566)}",3c05ca58274754630d01e2528b145e0fa15938f4c296da6b906adf8d9236eaa8
uves_refined_null_continued,False,417.8407497606547,511,147,147,False,500,0.14851684015510713,21,1,0,0,11,"{2374: np.float64(3.6778646294736714), 2382: np.float64(3.724086607617538), 2600: np.float64(3.7713900192142944)}",832b7a076ab3d4640a76851b18b45056d1045eaf450cbc5098d14426819e5890
uves_refined_null_cross,False,418.2560956562324,511,147,147,False,400,0.6808733928096345,21,1,0,0,11,"{2374: np.float64(3.678131708881618), 2382: np.float64(3.728345309847288), 2600: np.float64(3.774700457021109)}",879aa4586e537d8bb2869616b788372a40063c4586306b7ba86fb7a4aa2d2922
