case,null_file,alternative_file,n_pixels,null_parameters,added_parameters,null_chi2,alternative_chi2,delta_chi2,null_chi2_per_nominal_ndf,alternative_chi2_per_nominal_ndf,nominal_wilks_p,delta_aic_heuristic,delta_bic_heuristic,null_success,alternative_success,null_active_bounds,alternative_active_bounds,null_optimality,alternative_optimality
primary,null_cross.json,alternative_from_published.json,2931,147,5,2305.4905409518874,2253.7773014844893,51.713239467398125,0.8281216023534078,0.8110029872200393,6.176986476924595e-10,-41.713239467398125,-11.797744763843667,True,True,12,3,3.1679682415651937,5.769766039424818
expected_fluctuation,expected_fluctuation_null_polished.json,expected_fluctuation_alternative.json,2931,147,5,2801.7103852062064,2733.787030253823,67.9233549523833,1.006361488939011,0.9837304894760068,2.770225197599274e-13,-57.923354952383306,-28.007860248828848,True,True,10,12,2.651482675377327,1.6058952613358282
ar1_rho03,ar1_rho03_null.json,ar1_rho03_alternative.json,2931,147,5,2201.724424434928,2172.4707018895024,29.253722545425717,0.7908492903861092,0.7817454846669674,2.067568157088998e-05,-19.253722545425717,10.661772158128741,True,True,3,5,2.853775867566186,2.373871293136284
lsf_minus3pct,lsf_minus3pct_null.json,lsf_minus3pct_alternative.json,2931,147,5,2324.646270966021,2259.2804008017674,65.36587016425347,0.8350022525021626,0.8129832316667029,9.41027909724499e-13,-55.365870164253465,-25.450375460699007,True,True,2,5,7.6877817609817924,9.893381219107114
lsf_plus3pct,lsf_plus3pct_null.json,lsf_plus3pct_alternative.json,2931,147,5,2295.210764463475,2250.3396466853274,44.871117778147436,0.8244291539021102,0.8097659757773757,1.541096507314368e-08,-34.871117778147436,-4.955623074592978,True,True,10,8,4.221229877757664,10.58827425427223
omit_blended,omit_blended_null.json,omit_blended_alternative_polished.json,1941,143,3,1451.3756201646743,1424.9931890555497,26.382431109124582,0.8072166964208422,0.7938680718972422,7.931202270729038e-06,-20.382431109124582,-3.6695553596175507,True,True,4,4,1.5273327425089056,0.10101907152306178
opacity_zero,opacity_zero_null.json,opacity_zero_alternative.json,2931,158,5,2260.1715348555736,2205.080529845843,55.09100500973045,0.8150636620467269,0.7966331393951745,1.2502826804459407e-10,-45.09100500973045,-15.175510306175994,True,True,12,8,5.1242365047320835,10.127732908413341
omit_saturated,omit_saturated_null_polished.json,omit_saturated_alternative.json,1775,143,3,1162.8942358262113,1155.8043049223013,7.089930903910044,0.7125577425405707,0.7095176825796816,0.0690859421698274,-1.0899309039100444,15.354736201818504,True,True,13,12,0.05156360885993451,0.03580233404486903
wider_bounds,wider_bounds_null.json,wider_bounds_alternative.json,2931,147,5,2285.35440709006,2231.2801690174783,54.074238072581466,0.8208887956501651,0.8029075815104276,2.0234714458202936e-10,-44.074238072581466,-14.158743369027007,True,True,5,5,4.196581418061912,2.950811844822339
